x,Energy
a.u.,kJ/mol
0.8125,24.1027
0.4375,21.8231
0.375,22.1414
0.5,27.7476
0.25,20.9041
0.75,26.3547
0.8125,18.9439
0.5625,23.7876
0.3125,23.055
0.0625,23.0437
1,18.2592
1,19.2443
0.3125,27.8692
0.9375,17.8095
0.5,19.6288
0.5,25.0582
0.375,28.9925
0.75,21.2735
0.6875,22.8284
0,27.0421
0.5,24.4958
0.625,24.5217
0.4375,26.0816
0.5625,28.5842
0.5625,22.6396
0.9375,16.6032
0.4375,23.9511
0,19.3664
0.1875,20.4594
0.375,23.2263
0.25,22.176
0.875,20.8143
0.1875,20.6927
0.8125,21.7682
0.25,19.8775
0.375,22.844
0.875,20.9413
0.1875,19.8302
0.6875,22.2218
0.3125,28.4911
0.3125,20.5961
0.5625,24.242
0.8125,25.5981
0.375,26.9509
0.3125,26.2201
0.875,18.714
0.875,21.2644
0.375,23.7
0.75,21.9861
0.625,24.3746
0.0625,18.9037
0.3125,27.1516
0.9375,18.4755
0.75,20.3358
0.6875,22.7242
0.125,22.3381
0.4375,23.7128
0.625,22.2528
0.0625,19.4951
0.5,23.0876
0.5625,25.409
0.25,25.3973
0.25,28.5055
0.1875,22.2252
0.5,23.8671
0.1875,27.6684
0.875,20.0409
0.125,23.2745
0.875,19.9588
0.1875,24.3526
0.25,20.8804
0.9375,19.8593
0.6875,24.0034
0.0625,20.9264
0.4375,19.5648
0.4375,21.3868
0.125,19.3793
0.1875,23.4339
0.4375,22.5782
0.25,28.2496
0.375,21.755
0.5625,24.4987
0.5,28.1186
0.25,28.8813
0.75,22.2386
0.0625,20.9151
0.4375,23.3164
0.875,17.097
0.4375,24.2572
0.8125,20.7298
0.375,22.041
0.5,22.0091
0.3125,23.7729
0.8125,22.2705
0.25,21.9311
1,16.2966
0.125,21.4017
0.4375,24.2592
0.5625,24.0387
0.1875,22.8295
0.125,20.229
0.8125,21.4828
0.5625,26.7779
0.5625,21.8865
0.125,23.6546
0.3125,24.135
0.875,18.655
0.625,21.9184
0.1875,20.267
0.625,21.1955
0,26.2666
0.1875,19.9291
0.25,21.3493
0.8125,18.2195
0.125,26.223
0.375,19.7171
0.0625,21.7138
0.375,24.6473
0.9375,17.5614
0.0625,20.8418
0.9375,17.2308
0.125,25.1133
0.75,23.1085
0.875,19.5405
0.625,24.6846
0.0625,23.9543
0.0625,20.9233
0.8125,20.5853
0.125,19.5181
0.5,18.3277
0.125,19.2505
0.75,21.0727
0,18.7314
