x,DeltaH_DFT,flip
a.u.,kJ/mol,
0.041667,5.30061,s
0.041667,5.30081,s
0.041667,5.30105,s
0.041667,5.30648,s
0.041667,5.4822,s
0.083333,5.65928,s
0.083333,5.997,s
0.083333,8.08732,s
0.083333,8.13319,s
0.083333,9.86749,s
0.125,6.86206,s
0.125,9.31639,s
0.125,9.4788,s
0.125,11.3759,s
0.125,12.7171,s
0.16667,8.28149,s
0.16667,9.35157,s
0.16667,9.53159,s
0.16667,9.86062,s
0.16667,11.4663,s
0.20833,11.6427,s
0.20833,12.7289,s
0.20833,12.8683,s
0.20833,15.83,s
0.20833,15.883,s
0.25,9.50028,s
0.25,12.3178,s
0.25,13.8482,s
0.25,15.8294,s
0.25,16.7155,s
0.29167,11.5793,s
0.29167,15.4091,s
0.29167,15.8926,s
0.29167,16.0312,s
0.29167,19.6295,s
0.33333,12.8699,s
0.33333,15.123,s
0.33333,16.2596,s
0.33333,16.9237,s
0.33333,19.647,s
0.375,14.9978,s
0.375,16.9627,s
0.375,17.2861,s
0.375,19.2041,s
0.375,19.6552,s
0.41667,16.1133,s
0.41667,18.5272,s
0.41667,18.6068,s
0.41667,18.9556,s
0.41667,19.302,s
0.45833,15.3244,s
0.45833,16.3144,s
0.45833,17.1172,s
0.45833,18.538,s
0.45833,19.6168,s
0.5,20.9394,s
0.5,17.8649,s
0.5,20.0919,s
0.5,21.1004,s
0.5,19.01,s
0.54167,19.3745,s
0.54167,18.3429,s
0.54167,18.266,s
0.54167,22.1553,s
0.54167,20.378,s
0.58333,17.951,s
0.58333,21.1114,s
0.58333,24.1466,s
0.58333,18.0023,s
0.58333,19.0534,s
0.625,20.3752,s
0.625,20.9189,s
0.625,19.8608,s
0.625,21.567,s
0.66667,19.24,s
0.66667,20.6421,s
0.66667,22.9275,s
0.66667,19.9143,s
0.66667,20.3288,s
0.70833,19.1352,s
0.70833,20.1022,s
0.70833,22.1219,s
0.70833,20.7711,s
0.70833,21.0218,s
0.75,19.8677,s
0.75,20.3803,s
0.75,19.6215,s
0.75,19.8189,s
0.75,18.398,s
0.79167,15.6309,s
0.79167,17.6678,s
0.79167,15.1513,s
0.79167,17.4311,s
0.79167,18.31,s
0.83333,18.1703,s
0.83333,17.7034,s
0.83333,18.7624,s
0.83333,19.4882,s
0.83333,20.2204,s
0.875,17.4035,s
0.875,18.4506,s
0.875,18.0225,s
0.875,17.6963,s
0.875,19.0129,s
0.91667,18.4969,s
0.91667,16.5749,s
0.91667,16.6302,s
0.91667,16.569,s
0.91667,15.8436,s
0.95833,16.9841,s
0.95833,16.5106,s
0.95833,16.7403,s
0.95833,15.944,s
0.95833,18.1222,s
0.041667,31.7645,r
0.041667,34.161,r
0.041667,31.4111,r
0.041667,34.1543,r
0.041667,34.1528,r
0.083333,33.206,r
0.083333,32.326,r
0.083333,42.3512,r
0.083333,30.492,r
0.083333,33.8131,r
0.125,14.0338,r
0.125,31.9936,r
0.125,10.2812,r
0.125,14.9285,r
0.125,11.1395,r
0.16667,16.5016,r
0.16667,12.2937,r
0.16667,30.6886,r
0.16667,9.59707,r
0.16667,12.8117,r
0.20833,29.5394,r
0.20833,15.31,r
0.20833,10.3986,r
0.20833,13.689,r
0.20833,16.7333,r
0.25,18.8058,r
0.25,40.8193,r
0.25,13.3635,r
0.25,15.0345,r
0.25,37.7748,r
0.29167,40.8497,r
0.29167,24.3002,r
0.29167,18.2754,r
0.29167,25.0151,r
0.29167,15.6013,r
0.33333,39.1929,r
0.33333,15.5492,r
0.33333,17.2965,r
0.33333,49.4009,r
0.33333,15.4743,r
0.375,26.7837,r
0.375,21.2456,r
0.375,21.4211,r
0.375,24.9862,r
0.375,16.5903,r
0.41667,21.8915,r
0.41667,37.9364,r
0.41667,23.7315,r
0.41667,26.9256,r
0.41667,24.2994,r
0.45833,24.6731,r
0.45833,27.8174,r
0.45833,47.7078,r
0.45833,28.8446,r
0.45833,33.8479,r
0.5,35.4062,r
0.5,17.4924,r
0.5,21.9396,r
0.5,20.8146,r
0.5,22.2336,r
0.5,21.4866,r
0.5,24.0426,r
0.5,35.9823,r
0.5,21.4462,r
0.5,44.5545,r
0.54167,20.3794,r
0.54167,41.8375,r
0.54167,31.0535,r
0.54167,26.4856,r
0.54167,21.0116,r
0.54167,21.7637,r
0.54167,26.998,r
0.54167,16.6498,r
0.54167,26.0831,r
0.54167,26.4441,r
0.58333,19.2059,r
0.58333,31.1148,r
0.58333,17.6187,r
0.58333,31.2813,r
0.58333,45.4658,r
0.58333,25.8987,r
0.58333,26.4032,r
0.58333,36.4693,r
0.58333,32.6342,r
0.58333,30.4468,r
0.625,28.6326,r
0.625,47.2385,r
0.625,23.6048,r
0.625,26.167,r
0.625,42.8554,r
0.66667,31.7267,r
0.66667,25.1599,r
0.66667,32.044,r
0.66667,17.8414,r
0.66667,21.4383,r
0.70833,26.6226,r
0.70833,32.0066,r
0.70833,31.8253,r
0.70833,31.74,r
0.70833,29.4859,r
0.75,20.5924,r
0.75,34.7562,r
0.75,23.4464,r
0.75,32.1938,r
0.75,31.955,r
0.79167,19.0652,r
0.79167,21.849,r
0.79167,30.6913,r
0.79167,24.4798,r
0.79167,23.4012,r
0.83333,26.7182,r
0.83333,26.8314,r
0.83333,36.278,r
0.83333,32.5146,r
0.83333,37.2295,r
0.875,24.778,r
0.875,25.6634,r
0.875,35.3576,r
0.875,27.2055,r
0.875,28.0554,r
0.91667,31.1631,r
0.91667,17.4249,r
0.91667,27.0825,r
0.91667,24.3164,r
0.91667,28.6281,r
0.95833,22.3971,r
0.95833,26.6047,r
0.95833,23.7419,r
0.95833,24.1051,r
0.95833,30.7272,r
